case_id,address,category,stratum,selected,bundle_sha256,n_legs,n_history,n_decoded,anchor_fallback,pair_E1,pair_E2,pair_E3,clean_E1,clean_E2,clean_E3,inverted,pair_agree,n_pairs,adjudicator,unanimous,overridden
case_001,6BQwXUooL9HBki29v1hMVkSutFdLfgaEYbhmrQjtsjty,standard,control_fail_FG,False,ce7ca37be4ebd372eeecb10376c011a8a6efffc32264d98194a7996ffb392d9b,145,120,12,False,yes,yes,yes,8,8,8,1,3,3,yes,True,False
case_002,Ccc4Rdr64uDmpMj297ahQdXMdy5m4ikVKeAKCQ2XDQJY,standard,control_fail_SC,False,3176e2a97dfe6c61c44c39c5f1681fd6de590c3d4e2e90cb56644d7b4edb0fda,206,120,12,False,yes,yes,yes,4,4,4,6,3,3,yes,True,False
case_003,FRPJJg4RHyUjgvtSRvWhKfMvtB2AfrXxqMTeJoh6cvWD,standard,selected,True,802b43909c24d0c8cfe2ccad95fb874694b558f45d070e1ee6f6e425f12d12f6,59,120,12,False,yes,yes,yes,9,9,9,0,3,3,yes,True,False
case_004,JBzU99LYekSFhThpv4xHWDo4aC9eM1QKHULhio3owv7T,standard,selected,True,af97369145b38809e81c053c5296c1e7768b1e656599f9a48071af1560838c3e,219,120,12,False,yes,yes,yes,8,8,8,0,3,3,yes,True,False
case_005,4cyvoMJEz59GRe3MkNrDBhdj5ib68jJxXeXCECQSCBCE,standard,control_fail_both,False,05a0461a63de8561f83ccc959488b758d6d9296783569361f4d5b4aadf5ce091,95,120,12,False,yes,yes,yes,4,4,4,6,3,3,yes,True,False
case_006,7SLPYMSA5FxaEvJRk7C6Pxav8KSWt7xcqGw4no4s8p7z,standard,control_fail_FG,False,6caf3dd43585aa86037eac9a6d69390ce05f44d7a5f7c69868ba475467ef5d07,96,120,12,False,yes,yes,yes,6,6,6,3,3,3,yes,True,False
case_007,hnu5iBK8UoHb51UFsH1RYTUAYdrhjHvV5YMTf9T1CYN,standard,selected,True,7bdda2ab41fd9387a4d1a1b544e2ab8a96c9adf563b585eaf2d740da3116cd24,210,120,12,False,yes,yes,yes,9,9,9,1,3,3,yes,True,False
case_008,6opA5DdsF6o6yrmJx5LQtcmA9MzQC2cTYs2Ui1fhraHd,standard,selected,True,d64918c21e097ed459b783d253b11d7274397ad26cdd449714559896b74a785b,70,120,12,False,yes,yes,yes,4,4,4,6,3,3,yes,True,False
case_009,DULT3N7RRiWqemwZt556qnMaikzEuQvju6yhZRz6MRAg,standard,selected,True,13b23d7b9722152c6a2b3c41e5426a39addbd6180319ba14e59ea9a86bf2b4be,108,120,12,False,yes,yes,yes,8,8,8,1,3,3,yes,True,False
case_010,DULT2qC5mH15gxTKbrFgxEVHrNeKbkAkNYoq4gU5knL8,standard,selected,True,ffe28fb7a2ff7eaf5a257a0ec816baf5d318992195cf551db89822ba7a15f6c9,111,120,12,False,yes,yes,yes,9,9,9,1,3,3,yes,True,False
case_011,3dxumrqyTTobqtoWZz7ujnh1vpJMCKj2hUo65r3tnXHM,standard,selected,True,1596890eb090d8bfbc3a0857410ad8535b5e1a75063c30b42cbbfe781ec7fbf9,72,120,12,False,yes,yes,yes,8,8,8,0,3,3,yes,True,False
case_012,zzzCaz9jTFBka6vypB26BeyKK9BTqyFYyFzqZtM6sUa,standard,selected,True,84e895c3167cb871cb9a0c50caaa8677f1c94bc7c07ca1b7b74a2bdc2445102b,112,120,12,False,yes,yes,yes,10,10,10,0,3,3,yes,True,False
case_013,61nUtgxC6Nvkg2MxoLPTjGaudMB6bFMbmj3CctfP1TMh,standard,selected,True,75db0d61183e70e427c189cefebe2a3b93801a3ae63d951922cf8a0cd7b1df83,83,120,12,False,yes,yes,yes,9,9,9,1,3,3,yes,True,False
